             name       n             e  length             s             type
3      tcl.4r1.b1     0.0  0.000000e+00   1.000    150.030000  FlukaCollimator
5      tcl.5r1.b1     0.0  0.000000e+00   1.000    184.357000  FlukaCollimator
7      tcl.6r1.b1     0.0  0.000000e+00   1.000    219.013000  FlukaCollimator
45   tctph.4l2.b1     0.0  0.000000e+00   1.000   3213.903584  FlukaCollimator
49   tctpv.4l2.b1     0.0  0.000000e+00   1.000   3215.903583  FlukaCollimator
52  tdisa.a4l2.b1     0.0  0.000000e+00   1.565   3249.693583  FlukaCollimator
53  tdisb.a4l2.b1     0.0  0.000000e+00   1.565   3251.273583  FlukaCollimator
54  tdisc.a4l2.b1     0.0  0.000000e+00   1.565   3252.853583  FlukaCollimator
19      tclia.4r2     0.0  0.000000e+00   1.000   3403.984583  FlukaCollimator
20   tclib.6r2.b1     0.0  0.000000e+00   1.000   3560.090583  FlukaCollimator
18  tcld.a11r2.b1     0.0  0.000000e+00   0.600   3758.149975  FlukaCollimator
21     tcp.6l3.b1     0.0  0.000000e+00   0.600   6487.671299  FlukaCollimator
26    tcsg.5l3.b1     0.0  0.000000e+00   1.000   6520.992797  FlukaCollimator
25    tcsg.4r3.b1     0.0  0.000000e+00   1.000   6707.575797  FlukaCollimator
31   tcsg.a5r3.b1     0.0  0.000000e+00   1.000   6718.920797  FlukaCollimator
35   tcsg.b5r3.b1     0.0  0.000000e+00   1.000   6724.740797  FlukaCollimator
11   tcla.a5r3.b1     0.0  0.000000e+00   1.000   6755.220797  FlukaCollimator
14   tcla.b5r3.b1     0.0  0.000000e+00   1.000   6757.220797  FlukaCollimator
9     tcla.6r3.b1     0.0  0.000000e+00   1.000   6843.770295  FlukaCollimator
10    tcla.7r3.b1     0.0  0.000000e+00   1.000   6915.175795  FlukaCollimator
46   tctph.4l5.b1     1.0  6.781595e+12   1.000  13181.344217  FlukaCollimator
50   tctpv.4l5.b1     0.0  0.000000e+00   1.000  13183.344217  FlukaCollimator
4      tcl.4r5.b1     0.0  0.000000e+00   1.000  13479.319217  FlukaCollimator
6      tcl.5r5.b1     0.0  0.000000e+00   1.000  13513.553216  FlukaCollimator
8      tcl.6r5.b1     0.0  0.000000e+00   1.000  13550.863216  FlukaCollimator
0   tcdqa.a4r6.b1     0.0  0.000000e+00   3.000  16804.965799  FlukaCollimator
2   tcdqa.c4r6.b1     0.0  0.000000e+00   3.000  16808.515799  FlukaCollimator
1   tcdqa.b4r6.b1     0.0  0.000000e+00   3.000  16812.065799  FlukaCollimator
40   tcsp.a4r6.b1     0.0  0.000000e+00   1.000  16815.975799  FlukaCollimator
24    tcp.d6l7.b1     3.0  1.641454e+13   0.600  19789.184383  FlukaCollimator
23    tcp.c6l7.b1  2490.0  1.442384e+16   0.600  19791.184382  FlukaCollimator
22    tcp.b6l7.b1   231.0  7.850632e+14   0.600  19793.184382  FlukaCollimator
32   tcsg.a6l7.b1   623.0  1.643285e+15   1.000  19832.678881  FlukaCollimator
34   tcsg.b5l7.b1   168.0  8.920405e+14   1.000  19891.906381  FlukaCollimator
30   tcsg.a5l7.b1    76.0  3.224935e+14   1.000  19895.906381  FlukaCollimator
37   tcsg.d4l7.b1    41.0  1.955757e+14   1.000  19917.236381  FlukaCollimator
33   tcsg.b4l7.b1     0.0  0.000000e+00   1.000  19987.162381  FlukaCollimator
42  tcspm.b4l7.b1    35.0  1.982494e+14   1.000  19989.162381  FlukaCollimator
28   tcsg.a4l7.b1    22.0  1.272714e+14   1.000  19991.162381  FlukaCollimator
29   tcsg.a4r7.b1    22.0  1.070772e+14   1.000  19995.162381  FlukaCollimator
36   tcsg.b5r7.b1    24.0  1.400085e+14   1.000  20086.418381  FlukaCollimator
38   tcsg.d5r7.b1    27.0  1.310877e+14   1.000  20102.418381  FlukaCollimator
39   tcsg.e5r7.b1     0.0  0.000000e+00   1.000  20106.418381  FlukaCollimator
43  tcspm.e5r7.b1    21.0  1.115950e+14   1.000  20108.418381  FlukaCollimator
27    tcsg.6r7.b1     0.0  0.000000e+00   1.000  20141.023381  FlukaCollimator
41   tcspm.6r7.b1    29.0  1.714457e+14   1.000  20143.023381  FlukaCollimator
12   tcla.a6r7.b1     6.0  2.195236e+13   1.000  20148.089381  FlukaCollimator
15   tcla.b6r7.b1     2.0  1.917892e+12   1.000  20178.963380  FlukaCollimator
16   tcla.c6r7.b1     1.0  5.591418e+12   1.000  20212.232378  FlukaCollimator
17   tcla.d6r7.b1     2.0  1.218243e+13   1.000  20214.232378  FlukaCollimator
13   tcla.a7r7.b1     0.0  0.000000e+00   1.000  20231.860378  FlukaCollimator
47   tctph.4l8.b1     0.0  0.000000e+00   1.000  23197.145962  FlukaCollimator
51   tctpv.4l8.b1     0.0  0.000000e+00   1.000  23199.145962  FlukaCollimator
44   tctph.4l1.b1     0.0  0.000000e+00   1.000  26510.938177  FlukaCollimator
48   tctpv.4l1.b1     0.0  0.000000e+00   1.000  26512.938177  FlukaCollimator
